Raison Sociale;Type;Sous-type;Type de cuisine;Ligne adresse 1;Numéro;Complément numéro;Type de voie;Voie;Ligne adresse 3;Boite postale;Code postal;Ville;Bureau distributeur;Indicateur cédex;Cédex;Téléphone;Mail;Adresse Web;Longitude;Latitude
Question de goût;cdt:Restaurant;;"Traditionnelle
Internationale ";;145-147;;Avenue;Joseph Vidal;;;13008;Marseille;MARSEILLE;non;;"04 91 73 59 08
06 88 11 26 97";contact@unequestiondegout.fr;http://www.unequestiondegout.fr;5.3753994;43.2494253
Le Grain de sel;cdt:Restaurant;;"Gastronomique
Méditerranéenne ";;39;;Rue;De la Paix Marcel Paul;;;13001;Marseille;MARSEILLE;non;;04 91 54 47 30;primos13@orange.fr;;5.373098;43.291934
Ou Ravi Provençau;cdt:Restaurant;;Gastronomique;;34;;Avenue;De la vallée des baux;;;13520;Maussane les Alpilles;MAUSSANE LES ALPILLES;non;;04 90 54 31 11; infos@ouravi.net;http://www.maussane.com;4.8030825;43.7216116
La Bergerie;cdt:Restaurant;;Gastronomique;Le Guéby Sud;;;;;;;13250;Saint Chamas;ST CHAMAS;non;;"04 90 50 82 29
06 60 50 82 29";labergerie13250@wanadoo.fr;http://www.restaurant-la-bergerie.fr;5.040922;43.542451
Le Rabelais;cdt:Restaurant;;Gastronomique;;8;;Rue;Auguste Fabre;;;13250;Saint Chamas;ST CHAMAS;non;;04 90 50 84 40;le.rabelais@wanadoo.fr;http://www.restaurant-le-rabelais.com;5.031915;43.550108
Axis Restaurant;cdt:Restaurant;;Méditerranéenne ;;8;;Rue;Sainte Victoire;;;13006;Marseille;MARSEILLE;non;;04 91 57 14 70;axis_restaurant@yahoo.fr;http://www.axis-restaurant.com;5.382867;43.286535
La Poule Noire;cdt:Restaurant;;Traditionnelle;;61;;Rue;Sainte;;;13001;Marseille;MARSEILLE;non;;04 91 55 68 86;fronk242@yahoo.fr;;5.373014;43.291978
La table de Beaurecueil - Juberg fait la cuisine;cdt:Restaurant;;Traditionnelle;La Ferme;66;;Allée;Des Mûriers;;;13100;Beaurecueil;BEAURECUEIL;non;;04 42 66 94 98;jubergfait@free.fr;http://www.latabledebeaurecueil.com;5.530721;43.519576
Le Vieux Four;cdt:Restaurant;;Provençale;;73;;Rue;Pasteur;;;13890;Mouriès;MOURIES;non;;04 90 47 64 94;contact@le-vieux-four.com;http://www.le-vieux-four.com;4.87813;43.705143
Chez Bob;cdt:Restaurant;;"Provençale
Grillades (spécialité)";Mas Petite Antonelle;;;;;Villeneuve Romieu;;13200;Arles;ARLES;non;;04 90 97 00 29;jeanguy@restaurantbob.fr;http://restaurantbob.fr;4.630417;43.57354
Chez Fonfon;cdt:Restaurant;;Poisson/fruits de mer;;140;;;Vallon des Auffes;;;13007;Marseille;MARSEILLE;non;;04 91 52 14 38;contact@chez-fonfon.com;http://www.chez-fonfon.com;5.350465;43.285223
Formal (Le) - Les caves Henri IV;cdt:Restaurant;;"Traditionnelle
Gastronomique";;32;;Rue;Espariat;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 27 08 31;;;5.447572;43.527501
Tomate verte (La);cdt:Restaurant;;"Méditerranéenne 
Provençale
Gastronomique";;15;;Rue;Des Tanneurs;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 60 04 58;contact@latomateverte.com;http://www.latomateverte.com;5.446335;43.527772
Riad (Le);"cdt:Restaurant
cdt:LivraisonADomicilePlatAEmporter";Plats à emporter;"Marocaine
Gastronomique";;21;;Rue;Lieutaud;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 26 15 79;contact@leriad.com;http://www.leriad.com;5.445276;43.529368
Yamato;cdt:Restaurant;;"Japonaise
Gastronomique";;21;;Avenue;Des Belges;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 38 00 20;contact@restaurant-yamato.com;http://www.restaurant-yamato.com;5.443794;43.52472
Poivre d'Ane (Le);cdt:Restaurant;;Gastronomique;;40;;Place;Des Cardeurs;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 21 32 66;lepoivredane@club-internet.fr;http://www.restaurantlepoivredane.com;5.446206;43.530056
Pierre Reboul;cdt:Restaurant;;"Gastronomique
Actuelle";11, petite rue Saint Jean;;;;;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 20 58 26;restaurant-pierre-reboul@orange.fr;http://www.restaurant-pierre-reboul.com;5.45109;43.528171
Jacquou le croquant;cdt:Restaurant;;"Sud Ouest
Provençale
Gastronomique";;2;;Rue;Aumône Vieille;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 27 37 19;jacquoulecroquant@wanadoo.fr;http://www.jacquoulecroquant.com;5.446746;43.528325
Epicurien (L');cdt:Restaurant;;"Traditionnelle
Gastronomique";;13;;Place;Des Cardeurs;;;13100;Aix en Provence;AIX EN PROVENCE;non;;06 89 33 49 83;aixepicurien@gmail.com;;5.4462583;43.5297842
Le Charles Livon;cdt:Restaurant;;Gastronomique;;89;;Boulevard;Charles Livon;;;13007;Marseille;MARSEILLE;non;;04 91 52 22 41;contact@charleslivon.fr;http://www.charleslivon.fr;5.358378;43.291987
Casa Romana;cdt:Restaurant;;Provençale;;6;;Rue;Joseph Roumanille;;;13460;Saintes Maries de la Mer;LES SAINTES MARIES DE LA MER;non;;"04 90 97 83 33
06 09 51 69 16";christian.etienne0946@orange.fr;http://monsite.orange.fr/florica;4.4278751;43.4523809
La Table du Meunier;cdt:Restaurant;;"Provençale
Méditerranéenne ";;42;;Cours;Hyacinthe Bellon;;;13990;Fontvieille;FONTVIEILLE;non;;04 90 54 61 05;;;4.711114;43.72689
Château des Alpilles;cdt:Restaurant;;"Provençale
Méditerranéenne 
Traditionnelle";;;;RD;31;Ancienne Route du Grès;2;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 03 33;chateau.alpilles@wanadoo.fr;http://www.chateaudesalpilles.com;4.810638;43.788701
Petit Verdot (Le);"cdt:Restaurant
cdt:BarAVin";;"Provençale
Méditerranéenne 
Gastronomique";;7;;Rue;D'Entrecasteaux;;;13100;Aix en Provence;AIX EN PROVENCE;non;;"04 42 27 30 12
06 66 62 67 75";lepetitverdot@wanadoo.fr;http://www.lepetitverdot.fr;5.444916;43.528513
Une Table au Sud;cdt:Restaurant;;"Gastronomique
Actuelle
Cuisine du monde";;2;;Quai;Du Port;;;13002;Marseille;MARSEILLE;non;;04 91 90 63 53;unetableausud@wanadoo.fr;http://www.unetableausud.com;5.373522;43.29617
Le Grand Puech;cdt:Restaurant;;Gastronomique;;8;;Rue;St Sébastien;;;13105;Mimet;MIMET;non;;04 42 58 91 06;contact@legrandpuech.fr;http://www.legrandpuech.fr;5.505655;43.413888
Le Château de Richebois;cdt:Restaurant;;Gastronomique;;;;Route;D'Eyguières;;;13300;Salon de Provence;SALON DE PROVENCE;non;;04 90 56 85 85;richebois@wanadoo.fr;http://www.chateauderichebois.com;5.08568;43.656019
La Virgule;cdt:Restaurant;;Gastronomique;;27;;Rue;De la Loge;;;13002;Marseille;MARSEILLE;non;;04 91 90 91 11;lavirgule.marseille@free.fr;http://lavirgule.marseille.free.fr;5.36843;43.296277
Le Mas du Soleil;cdt:Restaurant;;Gastronomique;;38;;Chemin;De Saint Come;;;13300;Salon de Provence;SALON DE PROVENCE;non;;04 90 56 06 53;mas.du.soleil@wanadoo.fr;http://www.lemasdusoleil.com;5.104004;43.64218
La Salle à Manger;cdt:Restaurant;;Gastronomique;;6;;Rue;Du Maréchal Joffre;;;13300;Salon de Provence;SALON DE PROVENCE;non;;04 90 56 28 01;;;5.098784;43.641348
Rotonde (La);cdt:Brasserie;;"Cuisine du monde
Gastronomique";;2;;Place;Jeanne d'Arc;;346;13611;Aix en Provence;AIX EN PROVENCE;non;;04 42 91 61 70;fontaine.mirabeau@wanadoo.fr;http://www.larotonde-aix.com;5.445387;43.526965
Les Trois Forts;cdt:Restaurant;;"Gastronomique
Traditionnelle";Hôtel Sofitel Vieux Port;36;;Boulevard;Charles Livon;;;13007;Marseille;MARSEILLE;non;;04 91 15 59 55;H0542@sofitel.com;http://www.sofitel.com;5.361247;43.292245
Côté Cour;cdt:Restaurant;;"Traditionnelle
Gastronomique";;19;;Cours;Mirabeau;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 93 12 51;restaurantcotecour@orange.fr;http://www.restaurantcotecour.fr;5.4476818;43.526759
Riviera (Le) - Hôtel Le Pigonnet;cdt:Restaurant;;"Gastronomique
Actuelle";Hôtel Le Pigonnet;5;;Avenue;Du Pigonnet;;;13090;Aix en Provence;AIX EN PROVENCE;non;;04 42 59 02 90;reservation@hotelpigonnet.com;http://www.hotelpigonnet.com;5.439334;43.517844
Auberge Provençale;"cdt:Restaurant
cdt:LivraisonADomicilePlatAEmporter";Plats à emporter;"Provençale
Gastronomique";;;;Impasse;De Provence;Le Canet;;13590;Meyreuil;MEYREUIL;non;;04 42 58 68 54;aubergiste@aol.com;http://www.auberge-provencale.fr;5.523644;43.494775
Mas de la Fouque;cdt:Restaurant;;Provençale;;;;Route;Du Petit Rhône;;;13460;Saintes Maries de la Mer;LES SAINTES MARIES DE LA MER;non;;04 90 97 81 02;info@masdelafouque.com;http://www.masdelafouque.com;4.3982954;43.4624366
Atelier de Georgiana;cdt:CuisinierADomicile;;Divers;;19;;Rue;Saint-Jacques;;;13006;Marseille;MARSEILLE;non;;"09 53 08 39 72
06 24 30 14 19";atelier@georgiana.fr;http://www.georgiana.fr;5.380644;43.289085
Restaurant Marc de Passorio-Vallon de Valrugues;cdt:Restaurant;;Actuelle;Hôtellerie du Vallon de Valrugues;;;Chemin;Canto Cigalo;;;13531;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 04 40;restaurant@vallondevalrugues.com;http://www.restaurant-marcdepassorio.com;4.841455;43.78456
Café de la Place;cdt:Brasserie;;"Traditionnelle
Méditerranéenne 
Provençale";;17;;Place;De la République;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 02 13;lecafedelaplace13@orange.fr;http://www.cafedelaplace-stremy.fr/;4.829466;43.788336
Bistro du Cours;cdt:Restaurant;;Actuelle;;13;;Cours;Julien;;;13006;Marseille;MARSEILLE;non;;04 86 97 59 11;;http://www.bistroducours.com;5.383054;43.294339
Le Potager du Mas;cdt:FermeAuberge;;Gastronomique;Mas de la Rose;;;Route;D'Eygalières;;;13660;Orgon;ORGON;non;;04 90 73 08 90;info@lepotagerdumas.com;http://www.lepotagerdumas.com;5.0100351;43.780016
La Petite Table;cdt:Restaurant;;Gastronomique;;Angle;;Route;D'Orgon et Avenue du Général de Gaulle;;;13810;Eygalières;EYGALIERES;non;;04 90 38 19 23;;http://www.la-petite-table-eygalieres.com;4.9513912;43.7614611
Villa Gallici;cdt:Restaurant;;"Traditionnelle
Gastronomique";;;;Avenue;De la Violette;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 23 29 23;reservation@villagallici.com;http://www.villagallici.com;5.448891;43.534973
Les Terrasses de l' Image;cdt:Restaurant;;Traditionnelle;;36;;Boulevard;Victor Hugo;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 51 50;reservation@hoteldelimage.com;http://www.hotel-image.fr;4.832658;43.787839
Mama Shelter;cdt:Restaurant;;Méditerranéenne ;Résidence Mama Shelter;64;;Rue;De la Loubière;;;13006;Marseille;MARSEILLE;non;;04 84 35 20 00;marseille@mamashelter.com;http://www.mamashelter.com;5.3882987;43.2908724
Le Bout d'Istres;cdt:Restaurant;;Gastronomique;;2;;Rue;Copernic;ZI Le tubé 2;;13800;Istres;ISTRES;non;;"04 42 85 00 00
06 18 81 69 57";oboutdistres@orange.fr;;4.959641;43.519629
Bastide Magdeleine;cdt:Restaurant;;"Provençale
Gastronomique";;;;Route;D'Aix en Provence;Rond point de la Fontaine;;13420;Gémenos;GEMENOS;non;;04 42 32 20 16;;http://www.relais-magdeleine.com;5.623493;43.297766
Chez Tania RIF;cdt:Restaurant;;Poisson/fruits de mer;;;;;;Calanque de Figuerolles;;13600;La Ciotat;LA CIOTAT;non;;04 42 08 41 71;contact@figuerolles.com;;5.604277;43.174023
La Table de Nans;cdt:Restaurant;;Gastronomique;;;;Corniche;Du Liouquet;;;13600;La Ciotat;LA CIOTAT;non;;04 42 83 11 06;latabledenans@yahoo.fr;;5.664362;43.18336
La Table de Sébastien;cdt:Restaurant;;Gastronomique;;7;;Avenue;Hélène Boucher;;;13800;Istres;ISTRES;non;;04 42 55 16 01;contact@latabledesebastien.fr;http://www.latabledesebastien.fr;4.988093;43.51239
La Table de Roussan;cdt:Restaurant;;"Provençale
Gastronomique";Chateau de Roussan;;;Route;De Tarascon;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 90 79 00;contact@chateauderoussan.com;http://www.chateauderoussan.com;4.807282;43.790869
Ze Bis;cdt:Restaurant;;"Traditionnelle
Gastronomique";;7;;Rue;De la Couronne;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 90 03 47;scolazebistro@gmail.com;http://www.zebis.fr;5.445991;43.527422
Comme en Italie;cdt:Restaurant;;Italienne;;6;;Place;Sadi Carnot;;;13600;La Ciotat;LA CIOTAT;non;;04 86 33 43 81;commeenitalie@gmail.com;;5.608719;43.174749
O Caprices de Mathias;cdt:Restaurant;;Méditerranéenne ;Domaine de Métfiot;;;Chemin;De la Croix des Vertus;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 32 62 00 00;mathiashenkeme@yahoo.fr;http://www.caprices-mathias.com;4.84047;43.782362
L'Estagnol;cdt:Restaurant;;"Méditerranéenne 
Poisson/fruits de mer";;16;;Boulevard;Victor Hugo;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 05 95;;http://www.restaurant-lestagnol.com;4.831541;43.787435
Villa Régalido;cdt:Restaurant;;Gastronomique;;;;Avenue;Frédéric Mistral;;;13990;Fontvieille;FONTVIEILLE;non;;04 90 54 60 22;contact@laregalido.com;http://www.laregalido.com;4.705717;43.726873
Mas de l' Amarine;cdt:Restaurant;;Méditerranéenne ;Le Mas de L' amarine;;;;Ancienne voie Aurélia;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 94 47 82;contact@mas-amarine.com;http://www.mas-amarine.com;4.866702;43.78037
MÉO - Moment Émotion Osmose;"cdt:Restaurant
cdt:BarAVin";;Gastronomique;;1;;Place;Du Colonel Berrurier;;;13150;Tarascon;TARASCON;non;;04 90 91 47 74;moment-emotion-osmose@orange.fr;http://www.meo-tarascon.fr;4.657795;43.801549
Les Mazets des Roches;cdt:Restaurant;;Traditionnelle;RD 33;;;Route;De Fontvieille;;;13150;Tarascon;TARASCON;non;;04 90 91 34 89;mazets-roches@wanadoo.fr;http://www.restaurant-mazetsdesroches.com;4.693501;43.763811
Le Mistral;cdt:Restaurant;;"Traditionnelle
Provençale";;26;;Boulevard;Itam;;;13150;Tarascon;TARASCON;non;;04 90 91 27 62;contact@restaurant-mistral.com;http://www.restaurant-mistral.com;4.658933;43.806226
La Ferme;cdt:Restaurant;;Gastronomique;;;;Chemin;De la Font de Mai;;;13400;Aubagne;AUBAGNE;non;;04 42 03 29 67;auberge-la-ferme@wanadoo.fr;http://www.aubergelaferme.com;5.537281;43.315327
Le Ventre de l'Architecte;cdt:Restaurant;;Gastronomique;La Cité Radieuse;280;;Boulevard;Michelet;;;13008;Marseille;MARSEILLE;non;;06 65 62 48 16;contact@hotellecorbusier.com;http://www.hotellecorbusier.com;5.395069;43.265414
Les Girelles;cdt:Restaurant;;Poisson/fruits de mer;Bâtiment A15;;;Rue;Frédéric Mistral;;;13960;Sausset les Pins;SAUSSET LES PINS;non;;04 42 45 26 16;;http://www.restaurant-les-girelles.com;5.110201;43.330348
Le Madrigal;cdt:Restaurant;;Poisson/fruits de mer;;;;Avenue;Du Docteur Gérard Montus;;;13620;Carry le Rouet;CARRY LE ROUET;non;;04 42 44 58 63;;;5.155013;43.329459
La Maison - Domaine de Bournissac;cdt:Restaurant;;Gastronomique;;;;Montée;D'Eyragues;Paluds de Noves;;13550;Noves;NOVES;non;;04 90 90 25 25;bournissac@wanadoo.fr;http://www.lamaison-a-bournissac.com;4.886642;43.840083
